Invoice Number,Invoice Date,Payment Due Date,Currency,Supplier Email ID,Port Of Origin,Shipper,Bank Account Number,Buyer Name,Buyer Unique ID,Buyer Email ID,Final Destination,Consignee,Item Name,Quantity,Rate Per Unit,Supplier VAT,Amount,,,
Invoicee_01,28-07-2026,22-08-2026,AED,produbaiairlines@yopmail.com,UK,LTD,74589593945943985389,MILTON BUYERS,PDAMB63626,miltonbuyers@yopmail.com,US,L&T,MOTORS,1,1000,2,1020,,,
Invoicee_02,28-07-2026,22-08-2026,AED,produbaiairlines@yopmail.com,UK,LTD,74589593945943985389,MILTON BUYERS,PDAMB63626,miltonbuyers@yopmail.com,US,L&T,MOTORS,1,1000,2,1020,,,
Invoicee_03,28-07-2026,22-08-2026,AED,produbaiairlines@yopmail.com,UK,LTD,74589593945943985389,MILTON BUYERS,PDAMB63626,miltonbuyers@yopmail.com,US,L&T,MOTORS,1,1000,2,1020,,,
Invoicee_04,28-07-2026,22-08-2026,AED,produbaiairlines@yopmail.com,UK,LTD,74589593945943985389,MILTON BUYERS,PDAMB63626,miltonbuyers@yopmail.com,US,L&T,MOTORS,1,1000,2,1020,,,
Invoicee_05,28-07-2026,22-08-2026,AED,produbaiairlines@yopmail.com,UK,LTD,74589593945943985389,MILTON BUYERS,PDAMB63626,miltonbuyers@yopmail.com,US,L&T,MOTORS,1,1000,2,1020,,,
Invoicee_06,28-07-2026,22-08-2026,AED,produbaiairlines@yopmail.com,UK,LTD,74589593945943985389,MILTON BUYERS,PDAMB63626,miltonbuyers@yopmail.com,US,L&T,MOTORS,1,1000,2,1020,,,
Invoicee_07,28-07-2026,22-08-2026,AED,produbaiairlines@yopmail.com,UK,LTD,74589593945943985389,MILTON BUYERS,PDAMB63626,miltonbuyers@yopmail.com,US,L&T,MOTORS,1,1000,2,1020,,,
Invoicee_08,28-07-2026,22-08-2026,AED,produbaiairlines@yopmail.com,UK,LTD,74589593945943985389,MILTON BUYERS,PDAMB63626,miltonbuyers@yopmail.com,US,L&T,MOTORS,1,1000,2,1020,,,
Invoicee_09,28-07-2026,22-08-2026,AED,produbaiairlines@yopmail.com,UK,LTD,74589593945943985389,MILTON BUYERS,PDAMB63626,miltonbuyers@yopmail.com,US,L&T,MOTORS,1,1000,2,1020,,,
Invoicee_10,28-07-2026,22-08-2026,AED,produbaiairlines@yopmail.com,UK,LTD,74589593945943985389,MILTON BUYERS,PDAMB63626,miltonbuyers@yopmail.com,US,L&T,MOTORS,1,1000,2,1020,,,
Invoicee_11,28-07-2026,22-08-2026,AED,produbaiairlines@yopmail.com,UK,LTD,74589593945943985389,MILTON BUYERS,PDAMB63626,miltonbuyers@yopmail.com,US,L&T,MOTORS,1,1000,2,1020,,,
Invoicee_12,28-07-2026,22-08-2026,AED,produbaiairlines@yopmail.com,UK,LTD,74589593945943985389,MILTON BUYERS,PDAMB63626,miltonbuyers@yopmail.com,US,L&T,MOTORS,1,1000,2,1020,,,
Invoicee_13,28-07-2026,22-08-2026,AED,produbaiairlines@yopmail.com,UK,LTD,74589593945943985389,MILTON BUYERS,PDAMB63626,miltonbuyers@yopmail.com,US,L&T,MOTORS,1,1000,2,1020,,,
Invoicee_14,28-07-2026,22-08-2026,AED,produbaiairlines@yopmail.com,UK,LTD,74589593945943985389,MILTON BUYERS,PDAMB63626,miltonbuyers@yopmail.com,US,L&T,MOTORS,1,1000,2,1020,,,
Invoicee_15,28-07-2026,22-08-2026,AED,produbaiairlines@yopmail.com,UK,LTD,74589593945943985389,MILTON BUYERS,PDAMB63626,miltonbuyers@yopmail.com,US,L&T,MOTORS,1,1000,2,1020,,,
Invoicee_16,28-07-2026,22-08-2026,AED,produbaiairlines@yopmail.com,UK,LTD,74589593945943985389,MILTON BUYERS,PDAMB63626,miltonbuyers@yopmail.com,US,L&T,MOTORS,1,1000,2,1020,,,
Invoicee_17,28-07-2026,22-08-2026,AED,produbaiairlines@yopmail.com,UK,LTD,74589593945943985389,MILTON BUYERS,PDAMB63626,miltonbuyers@yopmail.com,US,L&T,MOTORS,1,1000,2,1020,,,
Invoicee_18,28-07-2026,22-08-2026,AED,produbaiairlines@yopmail.com,UK,LTD,74589593945943985389,MILTON BUYERS,PDAMB63626,miltonbuyers@yopmail.com,US,L&T,MOTORS,1,1000,2,1020,,,
Invoicee_19,28-07-2026,22-08-2026,AED,produbaiairlines@yopmail.com,UK,LTD,74589593945943985389,MILTON BUYERS,PDAMB63626,miltonbuyers@yopmail.com,US,L&T,MOTORS,1,1000,2,1020,,,
Invoicee_20,28-07-2026,22-08-2026,AED,produbaiairlines@yopmail.com,UK,LTD,74589593945943985389,MILTON BUYERS,PDAMB63626,miltonbuyers@yopmail.com,US,L&T,MOTORS,1,1000,2,1020,,,
